family,subfamily,tribe,subtribe,genus,species,attraction_strategies
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Apostasia,Apostasia_nuda,0
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_borneensis,0
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_veratrifolia,1
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_zollingeri,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_acaule,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_arietinum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_bardolphianum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_calceolus,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_californicum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_candidum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_fasciculatum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_fargesii,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_flavum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_guttatum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_henryi,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_japonicum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_leutiginosum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_macranthos,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_micranthum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_montanum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_parviflorum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_passerinum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_plectrochilum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_reginae,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_sichuanense,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_smithii,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_subtropicum,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_tibeticum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_yunnanense,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_armeniacum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_barbigerum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_bellatulum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_callosum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_dianthum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_hirsutissimum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_insigne,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_micranthum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_parishii,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_purpuratum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_rothschildianum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_spicerianum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_villosum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_besseae,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_caudatum,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_longifolium,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_pearcei,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Selenipedium,Selenipedium_aequinoctiale,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Arethusa,Arethusa_bulbosa,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Arundina,Arundina_graminifolia,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Calopogon,Calopogon_barbatus,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Calopogon,Calopogon_pallidus,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Calopogon,Calopogon_tuberosus,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Bletilla,Bletilla_striata,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_corymbosa,0
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_fimbriata,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_flaccida,1
