family,subfamily,tribe,subtribe,genus,species,terrestrial,epiphytic,tropic,subtropic,temperate,pollination_vectors
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Apostasia,Apostasia_nuda,1,0,1,0,0,1
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_borneensis,1,0,1,0,0,1
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_veratrifolia,1,0,1,0,0,1
Orchidaceae,Apostasioideae,Apostaseae,Apostasinae,Neuwiedia,Neuwiedia_zollingeri,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_acaule,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_arietinum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_bardolphianum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_calceolus,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_californicum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_candidum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_dickinsonianum,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_fasciculatum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_fargesii,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_flavum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_guttatum,1,0,0,1,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_henryi,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_japonicum,1,0,1,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_leutiginosum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_macranthos,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_micranthum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_montanum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_parviflorum,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_passerinum,1,0,0,0,1,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_plectrochilum,1,0,0,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_reginae,1,0,0,0,1,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_sichuanense,1,0,0,1,0,1
